,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1139978,op 100 gantry  not dropping at op 105,287.0,2021-01-08 16:59:57.033,2021-01-08 17:05:00.000,302.663,WLM03 ST130,140.0,logic,2021,100.0
1140040,No Comment and No Reason Code,287.0,2021-01-08 17:05:37.040,2021-01-08 17:07:34.040,117.0,WLM03 ST130,,,2021,
1140135,lunch: overage,287.0,2021-01-08 17:35:00.000,2021-01-08 17:40:00.080,300.8,WLM03 ST130,218.0,lunch: overage,2021,
1140143,No Comment and No Reason Code,287.0,2021-01-08 17:40:00.080,2021-01-08 19:34:03.053,6842.731,WLM03 ST130,,,2021,
1140516,No Comment and No Reason Code,286.0,2021-01-08 19:16:01.027,2021-01-08 19:27:41.083,700.561,WLM02 ST130,,,2021,
1140625,No Comment and No Reason Code,287.0,2021-01-08 19:38:20.047,2021-01-08 19:45:00.000,399.526,WLM03 ST130,,,2021,
1140739,No Comment and No Reason Code,287.0,2021-01-08 19:45:36.053,2021-01-08 19:49:00.000,203.472,WLM03 ST130,,,2021,
1140755,No Comment and No Reason Code,287.0,2021-01-08 19:49:00.000,2021-01-08 19:50:00.000,60.0,WLM03 ST130,,,2021,
1141103, shift start: overage ,287.0,2021-01-08 20:00:00.000,2021-01-08 20:45:00.000,2700.0,WLM03 ST130,216.0, shift start: overage ,2021,
1141105, shift start: overage ,286.0,2021-01-08 20:00:00.000,2021-01-08 20:45:00.000,2700.0,WLM02 ST130,216.0, shift start: overage ,2021,
1141394,No Comment and No Reason Code,287.0,2021-01-08 21:52:13.033,2021-01-08 21:54:10.033,117.0,WLM03 ST130,,,2021,
1141489,break,287.0,2021-01-08 22:20:00.000,2021-01-08 22:35:00.000,900.0,WLM03 ST130,74.0,break,2021,
1141566,break: overage,287.0,2021-01-08 22:35:00.000,2021-01-08 22:45:00.000,600.0,WLM03 ST130,219.0,break: overage,2021,
1141924,lunch: overage,287.0,2021-01-09 01:35:00.000,2021-01-09 01:45:00.000,600.0,WLM03 ST130,218.0,lunch: overage,2021,
1142513, shift start: overage ,287.0,2021-01-09 04:00:00.000,2021-01-09 04:45:00.000,2700.0,WLM03 ST130,216.0, shift start: overage ,2021,
1145446,No Comment and No Reason Code,287.0,2021-01-11 12:21:45.100,2021-01-11 12:59:29.080,2263.813,WLM03 ST130,,,2021,
1145615,testing entry to observe retention. ,287.0,2021-01-11 12:59:29.080,2021-01-11 13:06:31.077,421.975,WLM03 ST130,237.0,terminal down,2021,
1145638,No Comment and No Reason Code,287.0,2021-01-11 13:06:31.077,2021-01-11 13:39:15.090,1964.107,WLM03 ST130,,,2021,
1145825,No Comment and No Reason Code,287.0,2021-01-11 13:44:04.067,2021-01-11 13:47:39.067,215.004,WLM03 ST130,,,2021,
